,1,2,3,4,5,6,7,8,9,10,11,12
Long-chain fatty acids.7,-1.029194801,0.578270087,-0.855325699,2.108545091,0.111127361,-0.143047189,0.175656165,-0.493468758,0.938318567,-1.164194343,-1.077748612,0.851062131
Long-chain fatty acids.8,1.657357226,-1.336889967,0.986424001,0.601380391,-0.198325035,-0.108922769,-0.869043415,1.404803347,-0.365124839,-1.305622781,0.216834018,-0.682870177
Quinoxalines,1.622788898,0.827734864,-0.583874117,-0.170113704,-0.293780567,0.37776606,-1.228502843,0.167854302,-1.31727341,1.511355486,-1.201320661,0.28736569
Phenylpyridines,-0.316846386,0.755219304,-0.97508466,-0.5164574,1.692752459,1.199997331,0.291712215,-1.033173062,-0.243932458,-0.123507653,0.921532948,-1.652212637
Stilbenes,-0.559488993,2.434326772,-0.714193977,0.233253362,-0.826482581,-0.274817977,0.671193966,-0.70147443,1.161912568,-0.554154186,0.044408489,-0.914483013
Ceramides.4,0.187110803,1.667725295,-0.726775278,-0.40051707,-1.157504847,-0.669316834,1.042226094,-1.367019049,1.058687155,-0.48077086,1.144997978,-0.298843387
Long-chain fatty acids.9,-0.09607519,0.838474086,-0.265892801,1.717997618,-1.752498719,-1.230811385,0.289924194,0.223607902,-0.497058471,0.496450192,1.141366794,-0.865484219
Long-chain fatty acids.10,-0.965741433,0.183257785,1.156704404,-1.260746098,-0.794025887,-0.789282658,-0.119610733,-0.957178117,0.173903054,1.680853786,1.409695549,0.282170347
Stigmastanes and derivatives.1,-0.952409381,-0.240241178,1.303879079,-1.195970459,1.55269539,0.148459853,0.36968444,0.303400243,-1.144114939,0.615094163,-1.444811371,0.68433416
Ceramides.5,1.257159214,1.220712014,0.36487456,0.755690393,-0.114122499,-1.312377365,-2.026068736,-0.400358379,0.696004269,0.34471556,0.002032937,-0.788261968
Phytoceramides.6,-0.393443144,0.456636585,-0.279015327,0.096740632,0.978668197,0.694459815,-0.514646792,-1.464956745,-0.928266852,-0.68664645,2.301548817,-0.261078734
Oligosaccharides.1,0.351858642,0.688773913,-0.987819104,-0.309045878,1.376430988,0.444544162,-0.107339214,0.830495108,-1.332978379,1.36995501,-0.861660375,-1.463214872
Monomethylphosphatidylethanolamines,-0.661202124,2.591061267,-0.119401196,0.562420468,-0.298145226,-0.306551009,0.413290534,-0.646604236,-0.483888948,-0.294481196,0.656124334,-1.412622668
Carotenes,0.087475581,2.739168379,0.364992684,0.472047214,-0.33105992,-0.692361799,0.086440505,-0.845574301,-0.101932937,-0.380333382,-0.112757465,-1.286104561
Long-chain fatty acids.11,0.396665355,-0.54769277,-0.518301637,-0.594232772,0.224257345,0.035229085,0.070451348,1.786049546,-1.941560974,1.076328009,0.940814836,-0.92800737
Phytoceramides.7,0.869924334,0.702939856,0.87866913,-0.097473533,0.666151652,0.931730503,0.019594657,-0.19888647,-1.923088801,-0.801173604,0.64328613,-1.691673853
Lineolic acids and derivatives.2,-0.373981497,-0.636238118,0.125916853,0.185669726,-0.343469133,-0.350581225,-0.647401867,-0.148297798,-0.313217419,3.07541874,-0.254724779,-0.319093484
Tocopherols,-0.080458786,1.015096136,-1.105613971,0.689623315,0.031453522,-0.146001092,0.837980119,0.217878033,0.993993913,-0.580088907,0.548489595,-2.422351877
Lineolic acids and derivatives.3,-0.888554463,1.00364675,-0.749211608,2.59049292,-0.481131205,-0.362528943,0.264789417,-0.284418726,-0.237294755,-0.661797916,0.575376564,-0.769368035
Methylpyridines,-0.962618362,-0.873191983,-0.359723355,-0.616627322,-0.009185909,-0.74384946,-1.063267486,0.138861668,0.521873678,1.156758454,0.528890449,2.282079628
Medium-chain keto acids and derivatives,-1.117163956,1.660488438,-1.312549797,-0.046377923,0.308785761,0.3645299,1.450394651,-0.678874459,0.472748525,-0.675638406,0.710456427,-1.136799161
Oligosaccharides.2,0.041585316,0.721224893,-0.279029114,-0.194225914,0.286582329,0.301424954,2.406314445,-1.903987973,-0.115590637,-0.239160506,-0.214235332,-0.81090246
Short-chain keto acids and derivatives,-1.808374495,1.579571073,-0.616567747,0.658522352,0.251166739,-0.507397184,1.077737356,-0.662891557,0.473048204,-0.474614222,1.02731579,-0.997516309
Long-chain fatty acids.12,-0.957649061,-0.209530876,-0.67420879,0.345451522,-0.54336029,-0.991923534,-0.788839855,-0.020727118,1.368779906,-0.012528158,2.383119701,0.101416553
Ceramides.6,-0.749065504,-1.40516675,1.881579471,-0.61064101,0.225630732,0.333133461,0.628643153,-1.220005797,0.378696546,-0.254379103,-0.600273568,1.391848368
Fatty acid esters.1,0.222538695,0.558319141,-0.778654596,0.400550708,0.049270636,0.689889361,1.628238392,1.042958695,-1.038372735,0.215629977,-1.323648492,-1.666719783
Glycosyl-N-acylsphingosines.1,0.243187552,1.919833178,1.317308371,0.388520611,-1.045953476,-0.818771937,0.555130078,-0.728732832,-0.362231686,-0.608807045,0.543400541,-1.402883355
Secondary alcohols.1,0.283281442,2.059951718,-0.065254147,-0.052226377,-0.211790101,-0.469682407,1.575129313,-0.219927309,-0.891334974,-0.945990188,0.369211378,-1.431368348
Saccharolipids.1,1.154392185,1.449426402,-0.971682859,-0.26275767,-1.110130036,-1.006619843,0.768201833,1.393367708,-1.202217197,-0.114995073,0.346981445,-0.443966895
Saccharolipids.2,-1.298391889,-0.428382428,-1.179440088,0.20121001,-0.905496603,-0.545365001,-0.5685556,1.496521788,-0.178508364,1.416001604,1.019053476,0.971353094
Long-chain ceramides.1,1.391773789,-0.368038844,0.152125072,0.030388166,0.924417436,0.828085784,-0.544294979,-0.213272648,-1.966824526,0.800790748,-1.511556751,0.476406753
Glycosyldiacylglycerols,-0.228331017,0.236022821,-0.580579337,-0.402222903,-0.311579972,0.299588727,-0.087188749,0.167216847,-0.927612017,0.465304678,2.704137063,-1.334756141
Lineolic acids and derivatives.4,-1.870600115,1.163487009,-0.340854682,0.116587939,-1.029576651,-0.795764146,-0.181437981,0.174997407,1.502029834,0.055546143,1.401124993,-0.19553975
Lineolic acids and derivatives.5,-0.825480971,2.029473937,-0.921296991,0.182797642,-0.61549583,-0.48502237,0.32251096,-0.466305066,0.339997275,-0.33169772,1.774433177,-1.003914043
Pyrimidine nucleotide sugars,0.111564372,0.630689773,1.317976879,-1.185676065,-1.607330395,1.482235494,-0.282118036,0.992185388,-0.625569116,0.496075431,-0.865535094,-0.46449863
Long-chain fatty acids.13,-0.985644058,-0.13362755,0.613208421,1.201138871,-0.838646488,0.282120448,0.162211732,-1.070742365,2.195505932,0.131259096,-1.084092082,-0.472691958
Lineolic acids and derivatives.6,-1.80482167,1.587888006,0.654803877,-1.304694612,-0.043128192,-0.117640131,0.737904721,1.071637105,-0.790435244,-0.165103669,0.684503764,-0.510913955
Long-chain fatty acids.14,-0.014746988,2.421782335,-0.451878805,-0.364353679,-0.208955002,0.006472916,0.644452051,-1.067358945,0.288561679,-0.935421263,0.88726667,-1.205820969
Alpha amino acids and derivatives,-0.7795527,2.101545394,-1.400421368,0.093786501,0.371471635,0.308227166,-0.477196571,0.730338313,0.399228332,-0.651658172,0.697494683,-1.393263213
Glycerophosphoserines,-2.49887091,-0.076243631,0.621386811,-0.615686676,0.986440891,0.218700003,0.218527669,0.463097991,0.199766375,0.883782562,-1.14918416,0.748283076
Hydroxybenzoic acid derivatives,0.260437116,0.83582835,-1.309752961,0.389748186,0.36035389,0.514856715,0.95649854,-1.315583323,0.800281171,-1.310969024,1.123652374,-1.305351033
Hexoses,0.667746292,0.921670222,-1.322523546,0.758334501,0.861737301,0.491104904,0.965801023,-1.377210326,0.110056991,-1.270183391,0.495765031,-1.302299002
Glycosylmonoacylglycerols,0.610487076,-0.442101758,-1.141117858,0.040300106,-0.397637753,-1.324887736,0.490714478,-0.176328472,0.346651463,0.755995997,2.274983984,-1.037059527
Purine ribonucleoside monophosphates,0.034487481,-0.122284159,-2.563379549,0.907656585,0.839321395,0.541395071,-0.644560897,0.062432233,1.414175025,-0.289407219,-0.280126318,0.100290353
Lineolic acids and derivatives.7,-1.191290719,1.66427569,-1.02571861,0.05011716,-0.6194795,-0.1245664,0.802495326,-0.425388822,1.354558423,-1.179099756,1.077180851,-0.383083643
Indolyl carboxylic acids and derivatives,1.132975033,-1.188488117,-0.379361029,-1.067961865,1.765336433,-0.108608933,-0.744137099,-0.515271143,0.411553278,1.577358032,-0.551982781,-0.331411809
Long-chain ceramides.2,-0.658770306,1.071940397,0.064146711,0.703769754,-0.268721541,0.095089241,-2.354822838,-0.343526236,1.083455289,-0.315659797,1.31990042,-0.396801093
Vitamin D and derivatives,-0.462664307,-0.176438963,0.655703658,2.524264662,-0.357395628,0.444038224,-0.451665274,-0.105286094,-0.806847763,0.073238795,0.296638284,-1.633585594
Methoxyphenols,-0.068183526,-0.492092216,0.707365691,-1.093325411,1.898542257,-0.876306112,-0.211286641,-1.468834082,-0.671893345,1.152854537,0.750949069,0.372209777
Glycosylmonoacylglycerols.1,-0.738919226,-0.154446454,-1.708254521,-0.493843895,-0.727775193,-1.058135811,0.954663388,-0.037412921,0.649312953,0.872658673,1.741097277,0.70105573
Glycosyl-N-acylsphingosines.2,0.322758117,1.52305422,-1.569586648,0.057765763,-0.169051919,-0.257175316,0.683585159,-0.292531064,0.879452909,-0.986479584,1.263633827,-1.455425465
Stigmastanes and derivatives.2,-1.703791891,1.804140006,0.429256802,-0.380305526,-0.430025714,1.109754557,0.553817339,-0.621618575,1.036872069,-0.997476733,-0.481293152,-0.319329183
Lysophosphatidylglycerols,0.761460101,0.898846855,-1.773962159,0.057261489,0.147902506,0.130286597,-1.986352824,-0.163925051,0.631482965,-0.271099013,1.396005799,0.172092735
Phosphosphingolipids,0.512100053,-1.680877493,-0.106129445,-0.986314968,1.382420613,0.597708839,-1.664879763,1.130344632,0.613093349,0.445327912,-0.179717939,-0.06307579
Phytoceramides.8,0.915292824,-0.726067941,1.111613308,-0.389598996,-1.205655783,1.069278237,1.365617906,-0.059187011,-0.774302651,0.126071744,-1.75092537,0.317863734
Ceramides.7,-0.977616134,-0.671435621,0.97352913,-0.371493478,-1.018060979,-1.100090154,-1.072209567,0.608716407,0.406311722,1.892099204,0.42959494,0.900654529
Coumaric acids and derivatives,-0.334037544,2.180584922,-0.100269271,0.954575024,0.652031867,0.364201534,-0.301066719,-0.735796141,-0.379561594,-0.8191645,0.286349173,-1.767846752
Vitamin D and derivatives.1,1.252718627,-0.902370272,0.150030825,-1.098345544,1.55920152,-0.052531574,-0.842146657,-0.774631467,-1.108010739,1.459569558,-0.155534798,0.512050521
Medium-chain fatty acids.1,0.473517308,-0.991289907,-0.566020517,-0.967643522,1.364168413,-0.426090297,-0.602010791,-0.751873458,-0.845378315,1.337399806,0.241915969,1.733305312
Long-chain fatty acids.15,1.013859068,-0.357226389,-1.998881569,0.931294035,-0.352875386,0.102112445,-1.162110838,0.900509348,0.092618944,0.788646758,1.034399893,-0.992346311
Stigmastanes and derivatives.3,-1.027751958,0.750879014,-0.70183713,-0.675004798,0.379663171,0.067247112,0.670655854,-1.374469472,2.016417316,-1.068145887,0.851415063,0.110931715
Fatty acid esters.2,-1.350474922,1.41407005,1.048993272,0.840220179,0.435588456,0.58899093,0.533802863,-0.89098167,-0.689603324,-0.293280632,0.143845039,-1.781170239
"Ergotamines, dihydroergotamines, and derivatives",-0.069008675,0.558850787,-2.750654491,0.601205251,-0.255034132,1.00183352,0.924846291,0.290739099,-0.382051063,-0.109925522,0.62885047,-0.439651534
Stigmastanes and derivatives.4,-0.980887087,0.784123208,-0.247119673,-0.983326755,0.330117975,0.367653555,1.035476725,-1.723031851,1.69522256,-0.940539302,0.588149925,0.074160719
Phosphosphingolipids.1,0.221198254,1.200163845,-1.541888591,0.332237596,0.297153028,0.52948533,1.70349982,-1.071608789,-0.38820271,-0.370606678,0.519107554,-1.430538659
Long-chain fatty acids.16,-0.288053411,1.604601621,-1.063165462,1.697716598,-0.913250811,-0.766513304,0.58257043,-0.512438191,0.606207414,-0.938716969,0.72265529,-0.731613207
Alkyl-phenylketones,-1.110277348,-0.793152961,1.469104163,1.008658731,0.246114373,-0.589439172,-0.96804488,-0.898487719,0.928729335,0.020543746,1.507535647,-0.821283916
Phytoceramides.9,-1.258867903,1.948513906,-0.592340404,0.12023773,-0.203398675,-0.083117352,1.02356411,-0.980290215,0.832871015,-1.35522976,0.781859266,-0.233801717
Oligosaccharides.3,-0.400981989,1.498553541,0.406499389,-0.672219892,0.298801453,-1.257415501,0.273602872,0.322182873,0.536818271,-0.65883998,1.461269216,-1.808270253
Hydroxycinnamic acid glycosides,-0.698890657,0.929040737,0.088337741,-0.014264718,-0.115265711,0.165693049,2.085782011,-0.053245617,-0.456301381,-0.686197544,0.754729761,-1.999417672
Hydroxycinnamic acids and derivatives,-0.880881968,0.243293864,-0.629473339,0.831045429,0.029100497,-0.111959535,-0.612244435,0.085668127,-1.016556446,0.355385546,2.594927068,-0.888304807
Ureas,-1.084845672,1.106918698,1.813714678,0.524307457,-0.659690387,0.716764733,-0.319643211,-0.032799178,0.242619061,-1.696317851,-0.960554199,0.349525872
Phosphosphingolipids.2,-0.627239334,1.638868558,0.539213288,-0.460409562,1.078034409,-0.190831988,0.068164634,-1.125706856,1.466913218,-0.874454249,-0.090279148,-1.422272972
Medium-chain 2-enoyl CoAs,0.973937973,-0.734306348,0.105471017,0.604517388,-0.957716532,-0.647565337,0.024454187,-0.78041558,0.891395292,-0.984563203,2.217543489,-0.712752345
Heteroaromatic compounds,-0.723634039,-0.095511856,2.643610285,0.033376128,-0.645994707,1.307396803,-0.312959553,-0.549076907,-0.270406509,-0.474221315,-0.112042072,-0.800536259
Ceramides.8,-0.496295637,1.444758706,1.423239966,0.270914164,-0.228291851,0.431348674,0.968286553,-1.199426397,0.105209437,-1.161711756,0.051225058,-1.609256917
Glycosyl-N-acylsphingosines.3,-1.368861349,1.715843965,0.065902973,0.037018533,-1.10953778,-0.454388867,0.959544557,-0.655505066,1.272536999,-1.197745925,0.546801478,0.188390482
Dipeptides,-0.971502885,0.719372882,0.642428077,1.750429064,-0.026522096,0.325464685,0.288001,-0.531326921,-0.157616702,-0.765919083,0.807304808,-2.080112829
Vitamin D and derivatives.2,0.111987636,0.588795286,-0.286775418,-0.300427082,1.947331746,-0.656385369,-0.055245734,-1.292791432,-0.887724314,-0.362032771,1.809051157,-0.615783707
Fatty acid esters.3,-1.462114911,0.693096995,-1.582224795,0.018182872,0.499575201,0.991290917,0.500655078,-1.023553647,1.578996944,0.589773276,-0.098930557,-0.704747373
Phosphosphingolipids.3,-1.215491107,0.057572644,-1.034184765,1.450514189,-1.16553605,-0.478280276,1.11038727,0.553018023,1.607316955,-0.427344363,0.188603058,-0.646575577
Indoles,-0.567917425,1.832992814,-0.68389256,0.325147159,0.014053879,0.327334745,0.157258187,-0.001943928,1.556126886,-0.327770214,-0.758456804,-1.87293274
Dipeptides.1,0.93242416,0.093601991,-2.738846076,-0.418118165,1.15296407,0.141701736,-0.17934948,-0.479508658,0.599735437,0.659073592,0.196386051,0.039935341
Long-chain ceramides.3,-1.565835799,0.627913912,0.07152918,0.555330576,-0.910172817,-0.560675613,-0.09478625,-0.735275078,1.79158516,-0.208223631,1.60192511,-0.573314749
Phytoceramides.10,0.445190394,1.070660252,1.220671056,0.372188704,0.413317027,0.206282424,1.113176415,-1.724950023,-0.25884889,-1.196128779,-0.230439011,-1.43111957
Hydroxycinnamic acids and derivatives.1,-1.080544639,0.72590667,1.085070964,1.548965513,0.405083082,0.437266019,0.414466198,-0.353691942,-0.907902212,-0.621954566,0.291672529,-1.944337616
Heteroaromatic compounds.1,-1.244512372,0.262179818,0.154244721,0.219429787,-1.092946138,0.630686111,1.282028342,-1.34739318,-0.36164307,1.614620379,0.811869751,-0.92856415
